Info 0    [17:40:56.003] Starting TS Server
Info 148  [17:42:14.526] Different program with same set of files:: structureIsReused:: 2
Info 149  [17:42:26.326] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 150  [17:42:26.352] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 25.527067000046372ms
Info 151  [17:42:26.352] Different program with same set of files:: structureIsReused:: 2
Info 152  [17:42:28.881] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 153  [17:42:28.900] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false Elapsed: 19.162787000183016ms
Info 154  [17:42:28.900] Different program with same set of files:: structureIsReused:: 2
Info 155  [17:42:30.093] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 156  [17:42:30.112] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false Elapsed: 18.965533999726176ms
Info 157  [17:42:30.112] Different program with same set of files:: structureIsReused:: 2
Info 158  [17:42:31.161] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 159  [17:42:31.215] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false Elapsed: 53.89691000012681ms
Info 160  [17:42:31.215] Different program with same set of files:: structureIsReused:: 2
Info 161  [17:42:31.217] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 162  [17:42:31.251] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false Elapsed: 34.49945700028911ms
Info 163  [17:42:31.251] Different program with same set of files:: structureIsReused:: 2
Info 164  [17:42:31.710] getCompletionData: Get current token: 0.022104999981820583
Info 165  [17:42:31.710] getCompletionData: Is inside comment: 0.01092100003734231
Info 166  [17:42:31.710] getCompletionData: Get previous token 1: 0.09112700028344989
Info 167  [17:42:31.710] getCompletionsAtPosition: isCompletionListBlocker: 0.006285000126808882
Info 168  [17:42:31.713] getCompletionData: Semantic work: 2.6040249997749925
Info 169  [17:42:31.713] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.004437000025063753
Info 170  [17:42:38.202] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 171  [17:42:38.279] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false Elapsed: 76.54146699979901ms
Info 172  [17:42:38.279] Different program with same set of files:: structureIsReused:: 2
Info 173  [17:42:38.457] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 174  [17:42:38.477] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false Elapsed: 19.84067099960521ms
Info 175  [17:42:38.477] Different program with same set of files:: structureIsReused:: 2
Info 176  [17:42:38.781] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 177  [17:42:38.801] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false Elapsed: 19.7502329996787ms
Info 178  [17:42:38.801] Different program with same set of files:: structureIsReused:: 2
Info 179  [17:42:39.421] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 180  [17:42:39.447] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false Elapsed: 25.688013999722898ms
Info 181  [17:42:39.447] Different program with same set of files:: structureIsReused:: 2
Info 182  [17:42:40.163] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 183  [17:42:40.197] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false Elapsed: 34.697411000262946ms
Info 184  [17:42:40.198] Different program with same set of files:: structureIsReused:: 2
Info 185  [17:42:41.126] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 186  [17:42:41.155] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false Elapsed: 29.357404000125825ms
Info 187  [17:42:41.156] Different program with same set of files:: structureIsReused:: 2
Info 188  [17:42:41.157] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 189  [17:42:41.185] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false Elapsed: 28.689379999879748ms
Info 190  [17:42:41.186] Different program with same set of files:: structureIsReused:: 2
Info 191  [17:42:41.456] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 192  [17:42:41.485] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false Elapsed: 28.712396999821067ms
Info 193  [17:42:41.485] Different program with same set of files:: structureIsReused:: 2
Info 194  [17:42:42.311] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [17:42:42.362] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false Elapsed: 50.12832400016487ms
Info 196  [17:42:42.362] Different program with same set of files:: structureIsReused:: 2
Info 197  [17:42:57.986] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 198  [17:42:58.040] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false Elapsed: 53.11256599985063ms
Info 199  [17:42:58.040] Different program with same set of files:: structureIsReused:: 2
Info 200  [17:42:58.430] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 201  [17:42:58.465] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false Elapsed: 35.501204000320286ms
Info 202  [17:42:58.465] Different program with same set of files:: structureIsReused:: 2
Info 203  [17:42:58.466] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 204  [17:42:58.485] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false Elapsed: 18.56420599995181ms
Info 205  [17:42:58.485] Different program with same set of files:: structureIsReused:: 2
Info 206  [17:42:59.198] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 207  [17:42:59.257] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false Elapsed: 58.256254999898374ms
Info 208  [17:42:59.257] Different program with same set of files:: structureIsReused:: 2
Info 209  [17:42:59.511] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 210  [17:42:59.535] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 56 structureChanged: false Elapsed: 23.2593020000495ms
Info 211  [17:42:59.535] Different program with same set of files:: structureIsReused:: 2
Info 212  [17:43:10.742] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 213  [17:43:10.802] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 57 structureChanged: false Elapsed: 60.16123700002208ms
Info 214  [17:43:10.803] Different program with same set of files:: structureIsReused:: 2
Info 215  [17:43:11.143] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 216  [17:43:11.169] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 58 structureChanged: false Elapsed: 26.591496999841183ms
Info 217  [17:43:11.170] Different program with same set of files:: structureIsReused:: 2
Info 218  [17:43:11.890] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 219  [17:43:11.929] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 59 structureChanged: false Elapsed: 38.28397500002757ms
Info 220  [17:43:11.929] Different program with same set of files:: structureIsReused:: 2
Info 221  [17:43:11.996] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 222  [17:43:12.033] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 60 structureChanged: false Elapsed: 36.371497000101954ms
Info 223  [17:43:12.033] Different program with same set of files:: structureIsReused:: 2
Info 224  [17:43:12.098] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 225  [17:43:12.140] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 61 structureChanged: false Elapsed: 42.40559200011194ms
Info 226  [17:43:12.140] Different program with same set of files:: structureIsReused:: 2
Info 227  [17:43:12.259] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 228  [17:43:12.279] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 62 structureChanged: false Elapsed: 20.043233000207692ms
Info 229  [17:43:12.279] Different program with same set of files:: structureIsReused:: 2
Info 230  [17:43:13.213] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 231  [17:43:13.274] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 63 structureChanged: false Elapsed: 61.32721299957484ms
Info 232  [17:43:13.275] Different program with same set of files:: structureIsReused:: 2
Info 233  [17:43:23.781] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 234  [17:43:23.833] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 64 structureChanged: false Elapsed: 51.905077000148594ms
Info 235  [17:43:23.833] Different program with same set of files:: structureIsReused:: 2
Info 236  [17:43:27.789] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 237  [17:43:27.841] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 65 structureChanged: false Elapsed: 52.34130300022662ms
Info 238  [17:43:27.841] Different program with same set of files:: structureIsReused:: 2
Info 239  [17:43:28.092] getCompletionData: Get current token: 0.023377999663352966
Info 240  [17:43:28.093] getCompletionData: Is inside comment: 0.10144300013780594
Info 241  [17:43:28.093] getCompletionData: Get previous token 1: 0.07284000003710389
Info 242  [17:43:28.093] getCompletionData: Get previous token 2: 0.09859600011259317
Info 243  [17:43:28.093] getCompletionsAtPosition: isCompletionListBlocker: 0.006905999965965748
Info 244  [17:43:28.100] getCompletionData: Semantic work: 7.076115000061691
Info 245  [17:43:28.100] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.005275000352412462
Info 246  [17:43:28.103] getCompletionData: Get current token: 0.020463000051677227
Info 247  [17:43:28.105] getCompletionData: Is inside comment: 2.0560249998234212
Info 248  [17:43:28.105] getCompletionData: Get previous token 1: 0.09179800003767014
Info 249  [17:43:28.105] getCompletionData: Get previous token 2: 0.08571100002154708
Info 250  [17:43:28.105] getCompletionsAtPosition: isCompletionListBlocker: 0.008544000331312418
Info 251  [17:43:28.106] getCompletionData: Semantic work: 0.34818500000983477
Info 252  [17:43:28.106] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.004906999878585339
Info 253  [17:43:28.107] getCompletionData: Get current token: 0.019617000129073858
Info 254  [17:43:28.107] getCompletionData: Is inside comment: 0.08128000004217029
Info 255  [17:43:28.107] getCompletionData: Get previous token 1: 0.45462700026109815
Info 256  [17:43:28.107] getCompletionData: Get previous token 2: 0.08415299979969859
Info 257  [17:43:28.108] getCompletionsAtPosition: isCompletionListBlocker: 0.006914000026881695
Info 258  [17:43:28.108] getCompletionData: Semantic work: 0.3030270002782345
Info 259  [17:43:28.108] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.004595000296831131
Info 260  [17:43:28.264] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 261  [17:43:28.300] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 66 structureChanged: false Elapsed: 36.236475999932736ms
Info 262  [17:43:28.300] Different program with same set of files:: structureIsReused:: 2
Info 263  [17:43:28.301] getCompletionData: Get current token: 0.013819999992847443
Info 264  [17:43:28.301] getCompletionData: Is inside comment: 0.0493279998190701
Info 265  [17:43:28.301] getCompletionData: Get previous token 1: 0.04165100026875734
Info 266  [17:43:28.301] getCompletionsAtPosition: isCompletionListBlocker: 0.005162999965250492
Info 267  [17:43:28.307] getCompletionData: Semantic work: 6.291108000092208
Info 268  [17:43:28.307] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.0036869999021291733
Info 269  [17:43:29.054] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 270  [17:43:29.077] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 67 structureChanged: false Elapsed: 23.08669100003317ms
Info 271  [17:43:29.077] Different program with same set of files:: structureIsReused:: 2
Info 272  [17:43:29.732] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 273  [17:43:29.803] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 68 structureChanged: false Elapsed: 71.46322300005704ms
Info 274  [17:43:29.803] Different program with same set of files:: structureIsReused:: 2
Info 275  [17:43:38.275] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 276  [17:43:38.335] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 69 structureChanged: false Elapsed: 59.69553400017321ms
Info 277  [17:43:38.336] Different program with same set of files:: structureIsReused:: 2
Info 278  [17:43:39.822] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 279  [17:43:39.890] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 70 structureChanged: false Elapsed: 67.46529299998656ms
Info 280  [17:43:39.890] Different program with same set of files:: structureIsReused:: 2
Info 281  [17:43:40.143] getCompletionData: Get current token: 0.026927000377327204
Info 282  [17:43:40.143] getCompletionData: Is inside comment: 0.08409900031983852
Info 283  [17:43:40.143] getCompletionData: Get previous token 1: 0.07356100017204881
Info 284  [17:43:40.143] getCompletionsAtPosition: isCompletionListBlocker: 0.008197000250220299
Info 285  [17:43:40.144] getCompletionData: Semantic work: 1.3551799999549985
Info 286  [17:43:40.146] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.32299799984321
Info 287  [17:43:40.147] getCompletionData: Get current token: 0.021588999778032303
Info 288  [17:43:40.147] getCompletionData: Is inside comment: 0.06910299975425005
Info 289  [17:43:40.147] getCompletionData: Get previous token 1: 0.06405999977141619
Info 290  [17:43:40.148] getCompletionsAtPosition: isCompletionListBlocker: 0.005522000137716532
Info 291  [17:43:40.148] getCompletionData: Semantic work: 0.16523300018161535
